scheduled_date,post_text,platforms,image_url,link_url,hashtags,book_title,status
2025-11-21,ğŸŒº Aloha Kingdom family! Excited to share insights from my Kingdom of God series - exploring Biblical theology through fresh revelation. Join us on this journey!,facebook,,,#KingdomOfGod #ChristianBooks #BiblicalTheology,Kingdom Series,posted
2025-11-24,ğŸ“– Jesus spoke about the Kingdom of God 54 times but mentioned church only twice. The Kingdom was His primary message. Dive deeper in our series.,facebook,,,#KingdomTheology #BiblicalTruth #ChristianFaith,Kingdom Series,posted
2025-12-03,ğŸŒº Discover how traditional Hawaiian wellness wisdom can transform your health journey. My new book combines ancestral knowledge with evidence-based nutrition.,facebook,,,#HawaiianWellness #NaturalHealth #HealthyLiving,Wellness,posted
2025-12-06,ğŸ’¡ Ancient Hawaiians understood something modern science is rediscovering: your body has incredible healing ability when given proper nutrition and natural patterns.,facebook,,,#Nutrition #Wellness #HolisticHealth,Wellness,posted
2025-12-09,"ğŸ“– The Kingdom of God isn't a distant future reality - it's breaking into the present through us, the founding members. Explore this transformative truth.",facebook,,,#KingdomNow #ChristianLiving #FoundingMembers,Kingdom Series,posted
2025-12-12,"ğŸŒº Behind the books: Why I wrote about Kingdom theology. After years of study and revelation, timeless Biblical truth speaks powerfully to today's Church.",facebook,,,#AuthorLife #ChristianAuthor #KingdomRevelation,Kingdom Series,posted
2025-12-18,"ğŸ™ When ministry resources speak your congregation's heart language, it honors their heritage and deepens spiritual connection. That's Kingdom ministry!",facebook,,,#ChurchLeadership #CulturalCompetence #Ministry,Planners,
2025-12-21,ğŸŒº Hawaiian wellness wisdom: It's not about restriction - it's about abundance of the RIGHT foods. Traditional wisdom that transforms health.,facebook,,,#HealthyEating #WellnessJourney #TraditionalWisdom,Wellness,
2025-12-24,ğŸ’¬ Founding members are sharing: This Kingdom theology series opened my eyes to God's eternal purposes. Humbled and grateful!,facebook,,,#Testimony #ChristianBooks #KingdomFamily,Kingdom Series,
2025-12-27,ğŸ“– Seek first the Kingdom of God and His righteousness - Matthew 6:33. What does this really mean for our daily lives as founding members?,facebook,,,#ScriptureStudy #KingdomOfGod #BiblicalLiving,Kingdom Series,
2025-12-30,ğŸŒº Did you know? Traditional Hawaiian eating patterns naturally incorporated intermittent fasting. Ancestral wisdom meets modern nutritional science!,facebook,,,#IntermittentFasting #AncestralWisdom #HealthScience,Wellness,
2026-01-08,ğŸŒº The Kingdom of God operates on different principles than worldly systems. Learn how royal authority flows through covenant relationships in our series.,facebook,,,#KingdomPrinciples #CovenantRelationship #RoyalAuthority,Kingdom Series,scheduled
2026-01-11,ğŸ’¡ Your body speaks Hawaiian! Traditional foods from the islands naturally balance blood sugar and reduce inflammation. Ancient wisdom backed by science.,facebook,,,#HawaiianFood #AntiInflammatory #NaturalHealing,Wellness,scheduled
2026-01-14,ğŸ“– Founding members discovery: Jesus didn't come to establish religion - He came to restore Kingdom! This changes EVERYTHING about how we live.,facebook,,,#KingdomRestoration #JesusMessage #ChristianRevelation,Kingdom Series,scheduled
2026-01-17,ğŸŒº Ministry tools that honor culture CREATE connection. Pastors serving Pacific Islander communities: these planners were made FOR you!,facebook,,,#PacificIslanderMinistry #CulturalHonor #PastoralResources,Planners,scheduled
2026-01-20,ğŸ™ Mahalo to our founding members sharing how Kingdom theology transformed their understanding of Scripture. Your testimonies inspire us!,facebook,,,#KingdomFamily #Transformation #Grateful,Kingdom Series,scheduled
2026-01-23,ğŸŒº Hawaiian wellness secret: Eat with the seasons move with intention rest with purpose. Simple principles that transform health naturally.,facebook,,,#SeasonalEating #IntentionalLiving #WellnessWisdom,Wellness,scheduled
2026-01-26,ğŸ“š New revelation unlocked: Understanding Kingdom citizenship changes how we pray worship and engage with God's purposes on earth.,facebook,,,#KingdomCitizenship #Prayer #DivineRevlation,Kingdom Series,scheduled
2026-01-29,ğŸ’¬ Pastor testimonial: Finally ministry planners in MY congregation's language! This honors their heritage and deepens our spiritual connection.,facebook,,,#MultilingualMinistry #CulturalCompetence #PastorLife,Planners,scheduled
